Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
20,92.93,0.29,82.49,1.22,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
21,94.39,0.23,83.84,1.39,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
22,98.37,0.14,82.26,1.25,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
23,98.63,0.13,81.48,1.23,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
24,85.04,0.28,83.05,1.57,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
25,86.9,0.19,83.5,1.5,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
26,89.84,0.18,84.28,1.18,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
27,91.64,0.17,83.39,1.19,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
28,92.87,0.3,82.49,1.22,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
29,94.39,0.23,83.72,1.35,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
30,98.37,0.14,82.15,1.27,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
31,98.63,0.13,81.36,1.25,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
32,85.02,0.36,83.05,1.57,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
33,86.76,0.23,83.39,1.55,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
34,89.51,0.21,84.4,1.53,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
35,91.41,0.26,83.84,1.32,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
36,92.96,0.25,83.5,1.54,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
37,94.05,0.26,83.27,1.33,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
38,98.43,0.15,81.25,1.46,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
39,98.63,0.13,81.03,1.53,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
40,84.34,0.31,83.16,1.47,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
41,86.48,0.47,83.61,1.52,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
42,88.75,0.37,83.95,1.6,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
43,90.66,0.23,83.27,1.27,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
44,91.95,0.1,83.16,1.31,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
45,93.07,0.13,82.6,1.1,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
46,95.03,0.12,80.8,1.56,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
47,95.03,0.12,80.69,1.41,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
48,84.99,0.34,83.05,1.57,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
49,86.81,0.24,83.39,1.55,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
50,89.51,0.21,84.4,1.54,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
51,91.39,0.22,83.95,1.37,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
52,92.93,0.28,83.61,1.39,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
53,94.05,0.25,83.83,1.22,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
54,98.4,0.14,81.59,1.4,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
55,98.63,0.13,81.7,1.6,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
56,84.99,0.34,83.05,1.57,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
57,86.81,0.24,83.39,1.55,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
58,89.51,0.21,84.28,1.59,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
59,91.41,0.24,83.95,1.37,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
60,92.93,0.28,83.5,1.44,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 9}"
61,94.02,0.26,83.72,1.21,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 10}"
62,98.4,0.14,81.59,1.4,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 15}"
63,98.63,0.13,82.04,1.62,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 20}"
64,84.68,0.33,82.94,1.55,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 5}"
65,86.78,0.22,83.72,1.69,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 6}"
66,89.31,0.15,83.39,1.44,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 7}"
67,91.69,0.31,83.5,1.06,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 8}"
68,93.24,0.25,83.84,1.54,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 9}"
69,94.58,0.29,83.5,1.48,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 10}"
70,98.32,0.19,81.48,1.27,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 15}"
71,98.63,0.13,81.81,1.11,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': 'passthrough'}, 'model__max_depth': 20}"
72,84.6,0.42,83.05,1.55,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 5}"
73,86.48,0.38,83.39,1.54,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 6}"
74,88.78,0.17,83.72,1.92,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 7}"
75,90.54,0.25,82.83,1.29,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 8}"
76,91.86,0.18,83.16,1.4,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 9}"
77,92.9,0.12,82.6,1.29,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 10}"
78,95.03,0.12,81.48,1.03,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 15}"
79,95.03,0.12,81.37,1.08,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': Pipeline(steps=[('bin', KBinsDiscretizer(encode='ordinal', n_bins=4)),
                ('scale', MinMaxScaler())])}, 'model__max_depth': 20}"
80,84.68,0.35,83.05,1.51,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 5}"
81,86.81,0.23,83.61,1.76,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 6}"
82,89.25,0.13,83.72,1.34,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 7}"
83,91.75,0.32,83.84,1.1,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 8}"
84,93.1,0.25,83.84,1.58,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 9}"
85,94.61,0.29,83.72,1.36,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 10}"
86,98.32,0.19,82.04,1.11,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 15}"
87,98.63,0.13,81.93,0.82,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer()}, 'model__max_depth': 20}"
88,84.68,0.35,83.05,1.51,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 5}"
89,86.81,0.23,83.61,1.76,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 6}"
90,89.25,0.13,83.61,1.37,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 7}"
91,91.75,0.32,83.72,1.15,"{'data_prep__extract_deck': False, 'data_prep__extract_sexpclassage': False, 'data_prep__impute_age_kwargs': {'impute': True, 'add_indicator': True}, 'data_prep__numeric_transformations': {'default': 'passthrough', 'Fare': QuantileTransformer(output_distribution='normal')}, 'model__max_depth': 8}"
