Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
16,85.63,0.35,81.25,1.65,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
17,94.58,0.13,80.35,1.62,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
18,85.24,0.4,81.48,1.23,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
19,95.01,0.09,80.69,1.23,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
20,84.99,0.22,82.15,1.78,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
21,94.58,0.13,80.13,1.73,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
22,84.71,0.47,81.48,1.6,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
23,95.01,0.09,81.14,1.27,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
24,84.43,0.31,82.49,1.52,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
25,95.65,0.09,81.47,1.96,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
26,84.12,0.34,83.05,1.53,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
27,95.88,0.06,80.91,1.94,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
28,84.26,0.39,82.6,1.52,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
29,95.65,0.09,81.36,1.86,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
30,84.12,0.32,83.16,1.45,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
31,95.88,0.06,81.03,1.98,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
