Run,Train (Mean),Train (Std),Test (Mean),Test (Std),Params
10,85.19,0.33,83.05,1.61,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
11,98.63,0.13,81.93,0.94,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
12,84.54,0.26,82.6,1.53,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
13,98.43,0.13,80.47,1.63,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
14,84.23,0.36,83.05,1.48,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
15,98.63,0.13,81.03,1.01,"{'data_prep__extract_deck': False, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
16,87.2,0.5,82.26,1.44,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
17,98.63,0.09,80.8,1.24,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
18,86.53,0.28,82.83,1.57,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
19,98.71,0.09,81.82,1.02,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
20,86.31,0.17,81.48,1.26,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
21,98.63,0.09,80.13,1.4,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
22,85.49,0.32,82.6,1.49,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
23,98.71,0.09,81.14,1.28,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': False, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
24,87.01,0.37,81.82,1.48,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
25,98.85,0.09,80.92,1.53,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
26,85.83,0.2,83.38,1.82,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
27,98.93,0.09,81.37,1.19,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': False, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
28,85.18,0.37,81.7,1.68,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
29,98.85,0.09,80.58,1.81,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': False, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
30,84.6,0.21,83.05,1.39,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 5}"
31,98.93,0.09,81.48,0.98,"{'data_prep__extract_deck': True, 'data_prep__extract_fam': True, 'data_prep__extract_sexpclassage': True, 'data_prep__extract_title': True, 'data_prep__numeric_columns': ['Age', 'Pclass', 'Fare'], 'data_prep__ordinal_columns': ['Sex'], 'model__max_depth': 20}"
